Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	Geekvape Store	Search	Google search; Search partners	154553	Manual CPC		United States; France; Germany; Italy; United Kingdom; Canada; Switzerland; Australia; Netherlands; Spain	No																															
Ad Group	Add		Geekvape Store								Ad group 1		618.21																												
Keyword	Add		Geekvape Store								Ad group 1	geekvape		Exact																											
Keyword	Add		Geekvape Store								Ad group 1	geekvape store		Exact																											
Keyword	Add		Geekvape Store								Ad group 1	geekvape vape		Exact																											
Ad	Add		Geekvape Store								Ad group 1				https://store.geekvape.com/?ref=prvhfzvn	{Keyword:Geekvape}	Vape Mods & Kits	Advanced Vaping Devices	Durable Vape Hardware	Pod Systems & Coils	Waterproof Vape Mods	Geekvape Official Store	Aegis Series Vapes	Rebuildable Atomizers	Starter Vape Kits	Long Battery Life	Shockproof Design	Replacement Coils	Shop Vape Gear Now	Vape With Geekvape	Geekvape offers durable vape mods and kits. Aegis series waterproof vapes.	Shop Geekvape for pod systems, coils, and advanced vaping devices online.	Geekvape official store. Shockproof, waterproof vape mods and starter kits.	Vape with Geekvape. Reliable vaping hardware with long battery life.			Responsive search ad				
Callout	Add		Geekvape Store																																			Instant Delivery			
Callout	Add		Geekvape Store																																			4.8 Star Rating			
Callout	Add		Geekvape Store																																			HD & Ultra HD Quality			
Callout	Add		Geekvape Store																																			Secure Payment			
Sitelink	Add		Geekvape Store												https://store.geekvape.com/?ref=prvhfzvn#1																	Waterproof vape mods							Create new	Aegis Series	Durable and powerful
Sitelink	Add		Geekvape Store												https://store.geekvape.com/?ref=prvhfzvn#2																	Compact pod vapes							Create new	Pod Systems	Easy and portable
Sitelink	Add		Geekvape Store												https://store.geekvape.com/?ref=prvhfzvn#3																	Replacement vape coils							Create new	Coils	For all Geekvape devices
Sitelink	Add		Geekvape Store												https://store.geekvape.com/?ref=prvhfzvn#4																	Beginner vape kits							Create new	Starter Kits	Everything to start
