Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	Rubbit	Search	Google search; Search partners	154553	Manual CPC		United States; Italy; Germany; Canada; Spain; Australia; Sweden	No																															
Ad Group	Add		Rubbit								Ad group 1		618.21																												
Keyword	Add		Rubbit								Ad group 1	rubbit		Exact																											
Keyword	Add		Rubbit								Ad group 1	rubbit shop		Exact																											
Keyword	Add		Rubbit								Ad group 1	rubbit store		Exact																											
Ad	Add		Rubbit								Ad group 1				https://www.rubbit.shop/?ref=gfarivjr	{Keyword:Rubbit}	Unique Lifestyle Shop	Trendy Accessories	Curated Gift Ideas	Fun Everyday Products	Affordable Quality Items	Rubbit Official Store	Creative Home Goods	Novelty Gifts & Fun	Shop Trending Items	Unique Finds Online	Gifts For Everyone	Fast Shipping	Shop Best Sellers	Discover Rubbit Now	Rubbit shop offers unique lifestyle products. Trendy accessories and gifts.	Shop Rubbit for curated fun everyday products. Affordable quality items.	Rubbit official store. Creative home goods and novelty gifts online.	Discover Rubbit now. Unique finds and trending items with fast shipping.			Responsive search ad				
Callout	Add		Rubbit																																			Instant Delivery			
Callout	Add		Rubbit																																			4.8 Star Rating			
Callout	Add		Rubbit																																			HD & Ultra HD Quality			
Callout	Add		Rubbit																																			Secure Payment			
Sitelink	Add		Rubbit												https://www.rubbit.shop/?ref=gfarivjr#1																	Most popular products							Create new	Best Sellers	Customer favorites
Sitelink	Add		Rubbit												https://www.rubbit.shop/?ref=gfarivjr#2																	Unique gift ideas							Create new	Gifts	Fun and creative
Sitelink	Add		Rubbit												https://www.rubbit.shop/?ref=gfarivjr#3																	Latest trending items							Create new	New Arrivals	Fresh finds weekly
Sitelink	Add		Rubbit												https://www.rubbit.shop/?ref=gfarivjr#4																	Special deals available							Create new	Sale	Save on favorites
Campaign	Add	Enabled	Life-Space US	Search	Google search; Search partners	154553	Manual CPC		Australia; United States; Canada; Germany; Spain; Ireland	No																															
Ad Group	Add		Life-Space US								Ad group 1		1854.63																												
Keyword	Add		Life-Space US								Ad group 1	life space		Exact																											
Keyword	Add		Life-Space US								Ad group 1	life-space probiotics		Exact																											
Keyword	Add		Life-Space US								Ad group 1	life space us		Exact																											
Ad	Add		Life-Space US								Ad group 1				https://life-space.us/?ref=NGUYENDINHKHANH	{Keyword:Life-Space}	Premium Probiotics	Gut Health Supplements	Broad Spectrum Formula	For All Life Stages	Science-Backed Strains	Life-Space US Official	Digestive Wellness	Immune Support Probiotics	Baby & Kids Probiotics	Women's Health Formula	High Potency Strains	Natural & Quality	Shop Probiotics Now	Trust Your Gut	Life-Space offers premium broad spectrum probiotics for gut and immune health.	Shop Life-Space US for science-backed probiotic formulas. All life stages.	Life-Space official store. Baby, kids, women's, and adult probiotics.	Trust your gut with Life-Space. High potency natural probiotic supplements.			Responsive search ad				
Callout	Add		Life-Space US																																			Instant Delivery			
Callout	Add		Life-Space US																																			4.8 Star Rating			
Callout	Add		Life-Space US																																			HD & Ultra HD Quality			
Callout	Add		Life-Space US																																			Secure Payment			
Sitelink	Add		Life-Space US												https://life-space.us/?ref=NGUYENDINHKHANH#1																	Broad spectrum formula							Create new	Adult Probiotics	Digestive wellness
Sitelink	Add		Life-Space US												https://life-space.us/?ref=NGUYENDINHKHANH#2																	Gentle kids formula							Create new	Kids Probiotics	Support growing health
Sitelink	Add		Life-Space US												https://life-space.us/?ref=NGUYENDINHKHANH#3																	Women's probiotic blend							Create new	Women's Health	Targeted wellness
Sitelink	Add		Life-Space US												https://life-space.us/?ref=NGUYENDINHKHANH#4																	Infant probiotic drops							Create new	Baby Probiotics	Safe gentle formula
