Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	Dry Bags	Search	Google search; Search partners	154553	Manual CPC		United States; United Kingdom; Australia; Germany; New Zealand; Denmark; Norway; Belgium; Portugal	No																															
Ad Group	Add		Dry Bags								Ad group 1		463.66																												
Keyword	Add		Dry Bags								Ad group 1	dry bags		Exact																											
Keyword	Add		Dry Bags								Ad group 1	drybags		Exact																											
Keyword	Add		Dry Bags								Ad group 1	waterproof dry bag		Exact																											
Ad	Add		Dry Bags								Ad group 1				https://www.drybags.co.uk/?ref=ltoepywu	{Keyword:Dry Bags}	Waterproof Dry Bags UK	Keep Gear Dry & Safe	Outdoor Adventure Bags	Swimming & Kayak Bags	Roll-Top Waterproof	Dry Bags Official Store	Durable & Lightweight	All Sizes Available	Beach & Travel Bags	Watersport Essentials	Camping & Hiking Bags	Submersible Dry Sacks	Shop Dry Bags Now	Stay Dry Adventure	Dry Bags offers waterproof bags for outdoor adventures. Keep your gear dry.	Shop Dry Bags UK for kayak, swimming, and camping waterproof bags. All sizes.	Dry Bags official store. Durable, lightweight roll-top waterproof dry bags.	Stay dry on every adventure. Waterproof bags for beach, travel, and sports.			Responsive search ad				
Callout	Add		Dry Bags																																			Instant Delivery			
Callout	Add		Dry Bags																																			4.8 Star Rating			
Callout	Add		Dry Bags																																			HD & Ultra HD Quality			
Callout	Add		Dry Bags																																			Secure Payment			
Sitelink	Add		Dry Bags												https://www.drybags.co.uk/?ref=ltoepywu#1																	Classic waterproof bags							Create new	Roll-Top Bags	Keep everything dry
Sitelink	Add		Dry Bags												https://www.drybags.co.uk/?ref=ltoepywu#2																	Swimming dry bags							Create new	Swim Bags	Pool and beach ready
Sitelink	Add		Dry Bags												https://www.drybags.co.uk/?ref=ltoepywu#3																	Big waterproof bags							Create new	Large Dry Bags	For camping and kayak
Sitelink	Add		Dry Bags												https://www.drybags.co.uk/?ref=ltoepywu#4																	Waterproof pouches							Create new	Accessories	Phone and valuables safe
Campaign	Add	Enabled	FigureSkatingStore.com	Search	Google search; Search partners	154553	Manual CPC		United States	No																															
Ad Group	Add		FigureSkatingStore.com								Ad group 1		154.55																												
Keyword	Add		FigureSkatingStore.com								Ad group 1	figure skating store		Exact																											
Keyword	Add		FigureSkatingStore.com								Ad group 1	figureskatingstore		Exact																											
Keyword	Add		FigureSkatingStore.com								Ad group 1	figure skating gear		Exact																											
Ad	Add		FigureSkatingStore.com								Ad group 1				https://figureskatingstore.com/?ref=xmzsrxnu	{Keyword:Figure Skating}	Figure Skating Gear	Skating Dresses & Boots	Professional Skate Gear	Ice Skating Accessories	Competition Dresses	Figure Skating Store	Skating Blades & Guards	Practice & Show Wear	Quality Skating Apparel	All Skill Levels	Tights & Warm-Ups	Coaching Equipment	Shop Skating Gear	Skate With Confidence	Figure Skating Store offers dresses, boots, and gear. Professional skating apparel.	Shop skating dresses, blades, and accessories. Competition and practice wear.	Figure Skating Store official. Quality gear for all skill levels. Shop now.	Skate with confidence. Professional figure skating apparel and equipment.			Responsive search ad				
Callout	Add		FigureSkatingStore.com																																			Instant Delivery			
Callout	Add		FigureSkatingStore.com																																			4.8 Star Rating			
Callout	Add		FigureSkatingStore.com																																			HD & Ultra HD Quality			
Callout	Add		FigureSkatingStore.com																																			Secure Payment			
Sitelink	Add		FigureSkatingStore.com												https://figureskatingstore.com/?ref=xmzsrxnu#1																	Competition and practice							Create new	Skating Dresses	Elegant skating wear
Sitelink	Add		FigureSkatingStore.com												https://figureskatingstore.com/?ref=xmzsrxnu#2																	Figure skating boots							Create new	Skating Boots	For all levels
Sitelink	Add		FigureSkatingStore.com												https://figureskatingstore.com/?ref=xmzsrxnu#3																	Skating blades and guards							Create new	Blades & Guards	Quality equipment
Sitelink	Add		FigureSkatingStore.com												https://figureskatingstore.com/?ref=xmzsrxnu#4																	Tights warmups and more							Create new	Accessories	Complete your outfit
Campaign	Add	Enabled	Swad	Search	Google search; Search partners	154553	Manual CPC		United Kingdom; United States; Spain; Canada; Germany; France; Finland; Netherlands; Italy; Switzerland	No																															
Ad Group	Add		Swad								Ad group 1		0.00																												
Keyword	Add		Swad								Ad group 1	swad		Exact																											
Keyword	Add		Swad								Ad group 1	swad shop		Exact																											
Keyword	Add		Swad								Ad group 1	swad indian food		Exact																											
Ad	Add		Swad								Ad group 1				https://swad.shop/?ref=mugbvzid	{Keyword:Swad}	Authentic Indian Food	Indian Snacks & Sweets	Traditional Flavors	Spices & Ingredients	Shop Indian Groceries	Swad Official Store	Ready To Eat Meals	Sweets & Namkeen	Bollywood Style Snacks	Imported From India	Delicious Indian Treats	Bulk Packs Available	Shop Indian Food Now	Taste Of India Online	Swad offers authentic Indian food and snacks. Traditional flavors delivered.	Shop Swad for Indian sweets, namkeen, and spices. Imported from India.	Swad official store. Ready to eat meals and traditional Indian groceries.	Taste of India online. Swad delivers delicious Indian snacks and treats.			Responsive search ad				
Callout	Add		Swad																																			Instant Delivery			
Callout	Add		Swad																																			4.8 Star Rating			
Callout	Add		Swad																																			HD & Ultra HD Quality			
Callout	Add		Swad																																			Secure Payment			
Sitelink	Add		Swad												https://swad.shop/?ref=mugbvzid#1																	Indian namkeen and snacks							Create new	Snacks	Authentic flavors
Sitelink	Add		Swad												https://swad.shop/?ref=mugbvzid#2																	Traditional Indian sweets							Create new	Sweets	Delicious treats
Sitelink	Add		Swad												https://swad.shop/?ref=mugbvzid#3																	Indian cooking spices							Create new	Spices	Essential ingredients
Sitelink	Add		Swad												https://swad.shop/?ref=mugbvzid#4																	Quick Indian meals							Create new	Ready To Eat	Heat and serve
Campaign	Add	Enabled	Card-Addiction.com	Search	Google search; Search partners	154553	Manual CPC		United States; France; Canada	No																															
Ad Group	Add		Card-Addiction.com								Ad group 1		0.00																												
