Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,AUKEY,Search,Google search,150654,Daily,Manual CPC,,en,2840;2380;2276;2250;2724;2124;2826;2036;2528;2246,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,AUKEY,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,AUKEY,,,,,,,,,,AG-1,,Enabled,aukey,Exact match,151,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,AUKEY,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,AUKEY Official Store,AUKEY Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop AUKEY Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best AUKEY Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy AUKEY Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at AUKEY. Save up to 30% with free shipping on selected items today.,"Trusted online store with AUKEY best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover AUKEY essentials made simple.,https://www.aukey.com/?ref=nuryctfg,,,,
Sitelink,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.aukey.com/?ref=nuryctfg&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.aukey.com/?ref=nuryctfg,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.aukey.com/?ref=nuryctfg&2,Create new,Campaign,All Blog,
Callout,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,AUKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
