Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Hohem Official Store,Search,Google search,130000,Daily,Manual CPC,,en,2840;2276;2826;2250;2124;2380;2724;2036;2528;2208,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Hohem Official Store,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hohem Official Store,,,,,,,,,,AG-1,,Enabled,hohem,Exact match,520,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Hohem Official Store,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Hohem Official Store,Smartphone Gimbals,iSteady Series Stabilizer,Save Up To 30% Today,Free Shipping Worldwide,AI Tracking Gimbal,Foldable Pocket Gimbal,Pro Grade Stabilization,Camera Action Gimbal,Vlog Content Creator Pick,Code NYMBUS 5% Off,iSteady V2 M6 X3 Pro,Trusted By Creators,Shop Latest Models,Best Gimbal Deals 2026,Premium smartphone and camera gimbals at Hohem. Save up to 30% with free shipping.,"AI tracking, foldable pocket design and pro grade stabilization for every creator.","Use code NYMBUS for 5% off. Worldwide shipping on iSteady V2, M6, X3 Pro models.",Trusted by vloggers and content creators. Smooth footage in any shooting condition.,https://store.hohem.com/?ref=MINHPHUONGGMAILCOM,,,,
Sitelink,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://store.hohem.com/?ref=MINHPHUONGGMAILCOM&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://store.hohem.com/?ref=MINHPHUONGGMAILCOM,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://store.hohem.com/?ref=MINHPHUONGGMAILCOM&2,Create new,Campaign,All Blog,
Callout,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Hohem Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
