Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,ALDKitchen,Search,Google search,130000,Daily,Manual CPC,,en,2250;2840;2380;2826;2276;2036;2724;2124;2528;2056,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ALDKitchen,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ALDKitchen,,,,,,,,,,AG-1,,Enabled,ald,Exact match,1040,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,ALDKitchen,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,ALDKitchen Official Store,Commercial Kitchen Gear,Save Up To 20% Today,Free Shipping Worldwide,Bubble Tea Equipment,Donut Hot Dog Makers,Waffle Crepe Machines,Ice Cream Roll Makers,Food Cart Vendor Tools,Commercial Grade Build,Code NYMBUS 5% Off,Top Rated Restaurant Gear,Big Capacity High Output,Shop Kitchen Equipment,Best ALD Deals 2026,Commercial kitchen and food cart equipment at ALDKitchen. Save up to 20% today.,"Waffle, crepe, donut, hot dog and ice cream roll makers in commercial grade build.",Use code NYMBUS for 5% off. Free worldwide shipping on selected food machines.,"Trusted by restaurants, cafes and street vendors. High output, easy to operate.",https://ald.kitchen/?ref=uqcjtjcn,,,,
Sitelink,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://ald.kitchen/?ref=uqcjtjcn&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://ald.kitchen/?ref=uqcjtjcn,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://ald.kitchen/?ref=uqcjtjcn&2,Create new,Campaign,All Blog,
Callout,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,ALDKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
