Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Card-Addiction.com,Search,Google search,150654,Daily,Manual CPC,,en,2840;2250;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Card-Addiction.com,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Card-Addiction.com,,,,,,,,,,AG-1,,Enabled,card addiction,Exact match,151,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Card-Addiction.com,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Card-Addiction Official Store,Card-Addiction Big Sale Today,Up To 30% Off Today,Free Shipping Available,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best Card-Addiction Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy Card-Addiction Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Exclusive Online Offers,Premium picks at Card-Addiction. Save up to 30% with free shipping on selected items today,"Trusted online store with Card-Addiction best sellers, new arrivals and exclusive promo co",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover Card-Addiction essentials made simpl,https://card-addiction.com/?ref=huugqiwr,,,,
Sitelink,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://card-addiction.com/?ref=huugqiwr&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://card-addiction.com/?ref=huugqiwr,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://card-addiction.com/?ref=huugqiwr&2,Create new,Campaign,All Blog,
Callout,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Card-Addiction.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
