Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	GEPRC	Search	Google search; Search partners	100	Manual CPC		United States; Germany; France; Italy; United Kingdom; Canada; Switzerland; Austria; Spain; Netherlands	No																															
Ad Group	Add		GEPRC								Ad group 1		0.30																												
Keyword	Add		GEPRC								Ad group 1	geprc		Exact																											
Keyword	Add		GEPRC								Ad group 1	geprc drone		Exact																											
Keyword	Add		GEPRC								Ad group 1	geprc fpv		Exact																											
Ad	Add		GEPRC								Ad group 1				https://geprc.com/?ref=hmltjnbz	{Keyword:GEPRC}	FPV Racing Drones	FPV Drone Kits	Professional FPV Gear	Cinematic FPV Drones	Long Range FPV Quads	GEPRC Official Store	FPV Frames & Motors	Ready To Fly Drones	FPV Camera Drones	Durable Carbon Frames	FPV Accessories & Parts	Racing Drone Builds	Shop FPV Drones Now	Fly FPV With GEPRC	GEPRC offers FPV racing and cinematic drones. Professional FPV drone kits.	Shop GEPRC for ready to fly FPV drones. Durable carbon frames and motors.	GEPRC official store. Long range FPV quads, cameras, and accessories.	Fly FPV with GEPRC. Professional racing and cinematic drone solutions.			Responsive search ad				
Callout	Add		GEPRC																																			Instant Delivery			
Callout	Add		GEPRC																																			4.8 Star Rating			
Callout	Add		GEPRC																																			HD & Ultra HD Quality			
Callout	Add		GEPRC																																			Secure Payment			
Sitelink	Add		GEPRC												https://geprc.com/?ref=hmltjnbz#1																	RTF FPV drones							Create new	Ready To Fly	Fly out of the box
Sitelink	Add		GEPRC												https://geprc.com/?ref=hmltjnbz#2																	Carbon fiber frames							Create new	FPV Frames	Lightweight and strong
Sitelink	Add		GEPRC												https://geprc.com/?ref=hmltjnbz#3																	FPV motors and ESCs							Create new	Motors & ESCs	High performance parts
Sitelink	Add		GEPRC												https://geprc.com/?ref=hmltjnbz#4																	Cinematic FPV drones							Create new	Cine Drones	Smooth aerial footage
