Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,BUR BUR,Search,Google search,150654,Daily,Manual CPC,,en,2840;2124;2724;2380;2250;2036;2620;2056;2208;2040,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,BUR BUR,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,BUR BUR,,,,,,,,,,AG-1,,Enabled,burbur,Exact match,904,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,BUR BUR,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,BUR Official Store,BUR Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop BUR Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best BUR Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy BUR Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at BUR. Save up to 30% with free shipping on selected items today.,"Trusted online store with BUR best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover BUR essentials made simple.,https://burbur.com/?ref=hfcjijpy,,,,
Sitelink,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://burbur.com/?ref=hfcjijpy&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://burbur.com/?ref=hfcjijpy,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://burbur.com/?ref=hfcjijpy&2,Create new,Campaign,All Blog,
Callout,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,BUR BUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
