Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Accio,Search,Google search,150654,Daily,Manual CPC,,en,2840;2724;2826;2250;2380;2124;2036;2276;2620;2528,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Accio,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Accio,,,,,,,,,,AG-1,,Enabled,accio,Exact match,4972,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Accio,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Accio Official Store,Accio Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop Accio Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best Accio Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy Accio Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at Accio. Save up to 30% with free shipping on selected items today.,"Trusted online store with Accio best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover Accio essentials made simple.,https://www.accio.com/work?fbclid=IwY2xjawR4qMxleHRuA2FlbQIxMABicmlkETE3WHFDUnFrS3g2aEpuUVBuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHqiNKxCo0h0XNae-RYADQLi52nFAVGeN7_OgMgUaIPtVij9gEeocyW-u54PN_aem_T_ILpQtxjZVMyX7oGJ4iJA&im_ref=WSB2k81QMxyZUpZQNOy-8zmMUkuRynyd32hIXY0&sharedid=&im_pid=7098984&src=p_impact_7098984&im_pname=NymBus&irgwc=1&afsrc=1,,,,
Sitelink,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.accio.com/work?fbclid=IwY2xjawR4qMxleHRuA2FlbQIxMABicmlkETE3WHFDUnFrS3g2aEpuUVBuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHqiNKxCo0h0XNae-RYADQLi52nFAVGeN7_OgMgUaIPtVij9gEeocyW-u54PN_aem_T_ILpQtxjZVMyX7oGJ4iJA&im_ref=WSB2k81QMxyZUpZQNOy-8zmMUkuRynyd32hIXY0&sharedid=&im_pid=7098984&src=p_impact_7098984&im_pname=NymBus&irgwc=1&afsrc=1&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.accio.com/work?fbclid=IwY2xjawR4qMxleHRuA2FlbQIxMABicmlkETE3WHFDUnFrS3g2aEpuUVBuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHqiNKxCo0h0XNae-RYADQLi52nFAVGeN7_OgMgUaIPtVij9gEeocyW-u54PN_aem_T_ILpQtxjZVMyX7oGJ4iJA&im_ref=WSB2k81QMxyZUpZQNOy-8zmMUkuRynyd32hIXY0&sharedid=&im_pid=7098984&src=p_impact_7098984&im_pname=NymBus&irgwc=1&afsrc=1,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.accio.com/work?fbclid=IwY2xjawR4qMxleHRuA2FlbQIxMABicmlkETE3WHFDUnFrS3g2aEpuUVBuc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHqiNKxCo0h0XNae-RYADQLi52nFAVGeN7_OgMgUaIPtVij9gEeocyW-u54PN_aem_T_ILpQtxjZVMyX7oGJ4iJA&im_ref=WSB2k81QMxyZUpZQNOy-8zmMUkuRynyd32hIXY0&sharedid=&im_pid=7098984&src=p_impact_7098984&im_pname=NymBus&irgwc=1&afsrc=1&2,Create new,Campaign,All Blog,
Callout,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Accio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
