Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Casper Academy,Search,Google search,150654,Daily,Manual CPC,,en,2840;2124;2380;2250;2724;2276;2826;2036;2528;2752,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Casper Academy,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Casper Academy,,,,,,,,,,AG-1,,Enabled,casper,Exact match,7382,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Casper Academy,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Casper Official Store,Casper Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop Casper Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best Casper Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy Casper Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at Casper. Save up to 30% with free shipping on selected items today.,"Trusted online store with Casper best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover Casper essentials made simple.,https://casper.academy/?ref=pjkihumm,,,,
Sitelink,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://casper.academy/?ref=pjkihumm&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://casper.academy/?ref=pjkihumm,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://casper.academy/?ref=pjkihumm&2,Create new,Campaign,All Blog,
Callout,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Casper Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
