Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,ODODOS,Search,Google search,150654,Daily,Manual CPC,,en,2840;2276;2124;2826;2724;2036;2372,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ODODOS,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ODODOS,,,,,,,,,,AG-1,,Enabled,ododos,Exact match,480,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,ODODOS,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,ODODOS Official Store,Only Here Only Faster,Yoga Workout Leggings,Premium Activewear,odSTRATUM Fabric,ODLEX ODCLOUD Tech,ODLIFT Compression,Buy 3+ 15% Off,Code 2026S15,Full Length Leggings,7/8 Length Capris,Tanks Hoodies Jackets,Yoga Tennis Fitness,Activity-Specific Wear,Shop Activewear,"Only here, only faster. Premium activewear with proprietary fabric technology.",Buy 3+ items get 15% off with code 2026S15. Fast shipping included.,"Specialized odSTRATUM, ODLEX, ODCLOUD and ODLIFT fabric technologies.","Leggings, tops, bottoms for yoga, fitness, tennis and casual everyday wear.",https://ododos.co/?ref=NGUYENDUCTRUNG,,,,
Sitelink,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://ododos.co/?ref=NGUYENDUCTRUNG&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://ododos.co/?ref=NGUYENDUCTRUNG,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://ododos.co/?ref=NGUYENDUCTRUNG&2,Create new,Campaign,All Blog,
Callout,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,ODODOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
