Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,ACMEJOY,Search,Google search,150654,Daily,Manual CPC,,en,2840;2250;2276;2380;2528;2056;2826;2036;2040;2752,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ACMEJOY,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ACMEJOY,,,,,,,,,,AG-1,,Enabled,acmejoy,Exact match,1755,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,ACMEJOY,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,ACMEJOY Official Store,Discreet No Logo Packaging,90-Day Returns,Free Shipping Over 49E,100% Buyer Protection,Wide Selection,Up To 50% Off Sale,Flash Sales Daily,Premium Quality Products,Klarna Pay Later,Multiple Payments,Discrete Tracking,Quality & Function,Shop ACMEJOY Today,Buy Adult Toys Online,100% peace of mind shopping. No ACMEJOY logo on your discreet packaging.,90-day return guarantee plus free shipping on orders over 49 euros.,Up to 50% off select items with flash sales daily. Klarna pay later available.,Premium quality with full buyer protection. Discrete logistics tracking.,https://www.acmejoy.nl/?ref=lgmtleod&utm_medium=Goaffpro%26utm_campaign,,,,
Sitelink,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.acmejoy.nl/?ref=lgmtleod&utm_medium=Goaffpro%26utm_campaign&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.acmejoy.nl/?ref=lgmtleod&utm_medium=Goaffpro%26utm_campaign,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.acmejoy.nl/?ref=lgmtleod&utm_medium=Goaffpro%26utm_campaign&2,Create new,Campaign,All Blog,
Callout,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,ACMEJOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
