Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,ThankGod,Search,Google search,150654,Daily,Manual CPC,,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ThankGod,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,ThankGod,,,,,,,,,,AG-1,,Enabled,thankgod,Exact match,450,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,ThankGod,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,ThankGod Official Store,Be A Light,Christian Clothing Brand,Faith-Based Apparel,Oversized Vintage Tees,Statement With Purpose,Code MEMORIAL30 30%,Quality Christian Wear,Embossed Embroidered,Hoodies T-Shirts,Wristbands Socks,Gift Cards Available,Drop Alert Club,Exodus Cry Partner,Shop Faith Apparel,Be a light to those around you with quality Christian streetwear and apparel.,Memorial Day sale: use code MEMORIAL30 for 30% off. Faith-driven messaging.,"Oversized vintage tees, hoodies, wristbands and accessories from $7 to $70.",Partnership with Exodus Cry for social impact. Drop alert club included.,https://thankgod.com/?ref=kfncpljg,,,,
Sitelink,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://thankgod.com/?ref=kfncpljg&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://thankgod.com/?ref=kfncpljg,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://thankgod.com/?ref=kfncpljg&2,Create new,Campaign,All Blog,
Callout,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,ThankGod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
