Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Paused,Funwhole,Search,Google search,10,Daily,Maximize clicks,en,2840;2250;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Happy Happy Houseplant,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Modlily,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Bentgo,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Easyship Ambassador Program,Search,Google search,10,Daily,Maximize clicks,en,2840;2036;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,UPERFECT,Search,Google search,10,Daily,Maximize clicks,en,2840;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,REDTOP,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Epic,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,VEVOR AU,Search,Google search,10,Daily,Maximize clicks,en,2036;2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Maxi-Cosi,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
