Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Paused,Hampstead Tea,Search,Google search,10,Daily,Maximize clicks,en,2826;2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Michu Australia,Search,Google search,10,Daily,Maximize clicks,en,2036;2840;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,MidtownUmbrellas.com,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Redmagic,Search,Google search,10,Daily,Maximize clicks,en,2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Govee,Search,Google search,10,Daily,Maximize clicks,en,2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,DiscoverCars,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Geekbuying,Search,Google search,10,Daily,Maximize clicks,en,2840;2250;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Italiarail [CPS] Many GEOs,Search,Google search,10,Daily,Maximize clicks,en,2840;2380;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Linsoul Audio,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Yeslak Tesla Accessories,Search,Google search,10,Daily,Maximize clicks,en,2840;2724;2380,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Maono,Search,Google search,10,Daily,Maximize clicks,en,2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Trampoline Parts and Supply,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,SwitchBot,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Oojo,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,MFI Medical,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,HealthLabs.com,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Amotopart Fairing Creator Recruitment,Search,Google search,10,Daily,Maximize clicks,en,2840;2276;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Eufy,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,FLEXTAIL,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Flower Knows,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Hampstead Tea,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Michu Australia,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,MidtownUmbrellas.com,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Redmagic,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Govee,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,DiscoverCars,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Geekbuying,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Italiarail [CPS] Many GEOs,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Linsoul Audio,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Yeslak Tesla Accessories,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Maono,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Trampoline Parts and Supply,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,SwitchBot,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Oojo,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,MFI Medical,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,HealthLabs.com,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Amotopart Fairing Creator Recruitment,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Eufy,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,FLEXTAIL,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Flower Knows,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Hampstead Tea coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Hampstead Tea coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Hampstead Tea promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Hampstead Tea promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Promo code Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Coupon Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Coupon code Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Coupon code for Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Coupon for Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Hampstead Tea,,,,,,,,,AG-1,,Enabled,Promo code for Hampstead Tea,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Michu Australia,,,,,,,,,AG-1,,Enabled,Michu Australia coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Michu Australia,,,,,,,,,AG-1,,Enabled,Michu Australia coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Michu Australia,,,,,,,,,AG-1,,Enabled,Michu Australia promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
