Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Paused,Plant Paper Inc.,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Prop Money Inc.,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Isinwheel.com,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,"Cardiff, Inc.",Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Nobis,Search,Google search,10,Daily,Maximize clicks,en,2840,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Airwallex,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,AngelsHorn,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,wowangel,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,LONGER | Best 3D Printers & Laser Engravers,Search,Google search,10,Daily,Maximize clicks,en,2840;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,XS-Stock,Search,Google search,10,Daily,Maximize clicks,en,2826;2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Arccaptain Welder,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Elevate Styles,Search,Google search,10,Daily,Maximize clicks,en,2840;2826;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Index Bath,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,The Air Purifier Store,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,WOLFBOX,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Flower Boom Dallas,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Pink Picasso Kits,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,"Vland Headlight Assembly, Tail Light | Aftermarket HID Headlights, Fog Lights, Demon Eyes",Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2036,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Shark Wheel Affiliate Program,Search,Google search,10,Daily,Maximize clicks,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,3D Car Care,Search,Google search,10,Daily,Maximize clicks,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Plant Paper Inc.,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Prop Money Inc.,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Isinwheel.com,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Nobis,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Airwallex,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,AngelsHorn,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,wowangel,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,LONGER | Best 3D Printers & Laser Engravers,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,XS-Stock,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Arccaptain Welder,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Elevate Styles,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Index Bath,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,The Air Purifier Store,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,WOLFBOX,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Flower Boom Dallas,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Pink Picasso Kits,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,"Vland Headlight Assembly, Tail Light | Aftermarket HID Headlights, Fog Lights, Demon Eyes",,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Shark Wheel Affiliate Program,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,3D Car Care,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Plant Paper Inc. coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Plant Paper Inc. coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Plant Paper Inc. promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Plant Paper Inc. promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Promo code Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Coupon Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Coupon code Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Coupon code for Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Coupon for Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Plant Paper Inc.,,,,,,,,,AG-1,,Enabled,Promo code for Plant Paper Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Prop Money Inc. coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Prop Money Inc. coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Prop Money Inc. promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Prop Money Inc. promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Promo code Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Coupon Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Coupon code Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Coupon code for Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Coupon for Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Prop Money Inc.,,,,,,,,,AG-1,,Enabled,Promo code for Prop Money Inc.,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Isinwheel.com coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Isinwheel.com coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Isinwheel.com promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Isinwheel.com promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Promo code Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Coupon Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Coupon code Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Coupon code for Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Coupon for Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Isinwheel.com,,,,,,,,,AG-1,,Enabled,Promo code for Isinwheel.com,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Cardiff, Inc. coupon",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Cardiff, Inc. coupon code",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Cardiff, Inc. promo code",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Cardiff, Inc. promo",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Promo code Cardiff, Inc.",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Coupon Cardiff, Inc.",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,"Cardiff, Inc.",,,,,,,,,AG-1,,Enabled,"Coupon code Cardiff, Inc.",Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
