Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Paused,lensmartonline,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Gaia Guy,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Drift Hero,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Rebalance Vintage,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,YFN jewelry,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,PJ's Games,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,dyucycle,Search,Google search,10,Daily,Maximize clicks,0.40,en,2826;2840;2250,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,webfoodstore,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,bornpretty,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2826;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Comfier,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,EUNORAU ELECTRIC BIKES,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2036;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,OFCASA,Search,Google search,10,Daily,Maximize clicks,0.40,en,2826;2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,iscooterglobalUK,Search,Google search,10,Daily,Maximize clicks,0.40,en,2826;2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,KugooEU Scooter,Search,Google search,10,Daily,Maximize clicks,0.40,en,2250;2380;2276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Seinxon,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,ASOROCK WATCHES Discover Africa's 1 leading,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,Hycline Bike,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,VIVI,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2724,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,G-FORCE,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Paused,VTUVIA Ebike,Search,Google search,10,Daily,Maximize clicks,0.40,en,2840;2124;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,lensmartonline,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Gaia Guy,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Drift Hero,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Rebalance Vintage,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,YFN jewelry,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,PJ's Games,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,dyucycle,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,webfoodstore,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,bornpretty,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Comfier,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,EUNORAU ELECTRIC BIKES,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,OFCASA,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,iscooterglobalUK,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,KugooEU Scooter,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Seinxon,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,ASOROCK WATCHES Discover Africa's 1 leading,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Hycline Bike,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,VIVI,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,G-FORCE,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,VTUVIA Ebike,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,lensmartonline coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,lensmartonline coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,lensmartonline promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,lensmartonline promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Promo code lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Coupon lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Coupon code lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Coupon code for lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Coupon for lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,Promo code for lensmartonline,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Gaia Guy coupon,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Gaia Guy coupon code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Gaia Guy promo code,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Gaia Guy promo,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Promo code Gaia Guy,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Coupon Gaia Guy,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Gaia Guy,,,,,,,,,,AG-1,,Enabled,Coupon code Gaia Guy,Phrase match,,,,,,,,,,,,,,,,,,,,,,,,,,
