Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	ANSWR	Search	Google search; Search partners	153241.54	Manual CPC		United States; United Kingdom; Canada; Australia; Spain; Sweden; Italy; Norway; Belgium; Denmark	No																															
Ad Group	Add		ANSWR								Ad group 1		690.20																												
Keyword	Add		ANSWR								Ad group 1	answr		Exact																											
Keyword	Add		ANSWR								Ad group 1	answr uk		Exact																											
Keyword	Add		ANSWR								Ad group 1	answr fashion		Exact																											
Ad	Add		ANSWR								Ad group 1				https://answr.uk/?ref=epimoziv	{Keyword:ANSWR}	UK Fashion Brand	Trendy Streetwear	Shop Clothing Online	Men & Women Fashion	Affordable Style	ANSWR Official Store	New Drops Weekly	Urban Fashion Looks	Premium Quality Basics	Free UK Shipping	Seasonal Must-Haves	Modern Casual Wear	Shop Best Sellers	Style Made Simple	ANSWR offers trendy UK fashion for men and women. Streetwear and casual styles.	Shop ANSWR for affordable urban fashion. New drops weekly, free UK shipping.	ANSWR official store. Premium quality basics and modern casual clothing.	Discover ANSWR's latest collections. Trendy, affordable UK streetwear brand.			Responsive search ad				
Campaign	Add	Enabled	Typecase	Search	Google search; Search partners	153241.54	Manual CPC		United States; United Kingdom; Canada; Australia; France; Italy; New Zealand; Spain; Belgium; Switzerland	No																															
Ad Group	Add		Typecase								Ad group 1		573.12																												
Keyword	Add		Typecase								Ad group 1	typecase		Exact																											
Keyword	Add		Typecase								Ad group 1	typecase phone case		Exact																											
Keyword	Add		Typecase								Ad group 1	typecase cover		Exact																											
Ad	Add		Typecase								Ad group 1				https://typecase.co/?ref=cjihzkhc	{Keyword:Typecase}	Phone Cases & Covers	Protective Tech Cases	Keyboard Cases Tablet	Rugged Phone Protection	Slim & Stylish Cases	Typecase Official Store	iPad Keyboard Cases	Drop Protection Cases	Laptop Sleeves & Bags	Shop By Device Model	Durable & Lightweight	Affordable Tech Cases	Shop Cases On Sale	Protect Your Device	Typecase offers protective phone cases and tablet keyboard cases. Slim and rugged.	Shop Typecase for iPad keyboard cases and phone covers. Drop protection built in.	Typecase official store. Affordable, durable tech cases for phones and tablets.	Protect your device with Typecase. Laptop sleeves, phone cases, and more.			Responsive search ad				
