Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	CharCharms	Search	Google search; Search partners	153241.54	Manual CPC		United States; United Kingdom; Canada; Australia; France; Netherlands; Sweden; Belgium; Italy; Switzerland	No																															
Ad Group	Add		CharCharms								Ad group 1		218.06																												
Keyword	Add		CharCharms								Ad group 1	charcharms		Exact																											
Keyword	Add		CharCharms								Ad group 1	char charms		Exact																											
Keyword	Add		CharCharms								Ad group 1	charger charms		Exact																											
Ad	Add		CharCharms								Ad group 1				https://charcharms.com/?ref=xlrwnzqa	{Keyword:CharCharms}	Charger Cable Charms	Cute Tech Accessories	Personalize Your Charger	Fun Cable Decorations	Unique Tech Gifts	CharCharms Official	Phone Charger Charms	Laptop Cable Charms	Trendy & Adorable	Gifts For Tech Lovers	Express Your Style	Collectible Charms	Shop Charms Now	Make Charging Fun	CharCharms offers cute charger cable charms. Personalize your tech accessories.	Shop CharCharms for fun cable decorations. Unique gifts for tech lovers.	CharCharms official store. Trendy charger charms for phones and laptops.	Make charging fun with CharCharms. Collectible cable charms and accessories.			Responsive search ad				
Campaign	Add	Enabled	Shark Wheel Affiliate Program	Search	Google search; Search partners	153241.54	Manual CPC		United States; United Kingdom; Canada	No																															
Ad Group	Add		Shark Wheel Affiliate Program								Ad group 1		215.76																												
Keyword	Add		Shark Wheel Affiliate Program								Ad group 1	shark wheel		Exact																											
Keyword	Add		Shark Wheel Affiliate Program								Ad group 1	sharkwheel		Exact																											
Keyword	Add		Shark Wheel Affiliate Program								Ad group 1	shark wheel skateboard		Exact																											
Ad	Add		Shark Wheel Affiliate Program								Ad group 1				https://sharkwheel.com/?ref=bddfomsm	{Keyword:Shark Wheel}	Sine Wave Wheels	Skateboard Wheels	Better Grip & Speed	Patented Wave Design	Longboard Wheels	Shark Wheel Official	Rain & Terrain Ready	Less Friction More Speed	Scooter & Roller Wheels	All-Terrain Skating	Smooth & Fast Ride	Innovative Wheel Tech	Shop Wheels Now	Ride The Shark Wave	Shark Wheel's patented sine wave design. Better grip, speed, and control.	Shop Shark Wheel for skateboard and longboard wheels. All-terrain ready.	Shark Wheel official store. Innovative wheel tech for a smoother ride.	Ride the wave with Shark Wheel. Less friction, more speed on any surface.			Responsive search ad				
Campaign	Add	Enabled	SOOTIF.COM	Search	Google search; Search partners	153241.54	Manual CPC		United Kingdom; Spain; Italy	No																															
Ad Group	Add		SOOTIF.COM								Ad group 1		255.91																												
Keyword	Add		SOOTIF.COM								Ad group 1	sootif		Exact																											
Keyword	Add		SOOTIF.COM								Ad group 1	sootif custom		Exact																											
Keyword	Add		SOOTIF.COM								Ad group 1	sootif personalized		Exact																											
Ad	Add		SOOTIF.COM								Ad group 1				https://sootif.com/?ref=iabtybzv	{Keyword:SOOTIF}	Custom Personalized Gifts	Photo Gifts & Products	Custom Mugs & Blankets	Personalized Home Decor	Unique Custom Gifts	SOOTIF Official Store	Custom Canvas Prints	Photo Jewelry & Gifts	Custom T-Shirts	Memorable Gift Ideas	Create Your Design	Fast Custom Production	Shop Custom Gifts Now	Make It Personal	SOOTIF offers custom personalized gifts. Photo mugs, blankets, and more.	Shop SOOTIF for unique custom gifts. Canvas prints, jewelry, and apparel.	SOOTIF official store. Fast custom production on personalized home decor.	Make it personal with SOOTIF. Memorable custom gifts for every occasion.			Responsive search ad				
